feature value,n_samples,precision,recall,fbeta
 Farming-fishing,199,0.9512195121951219,0.8478260869565217,0.8965517241379309
 Armed-Forces,2,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Unmarried,688,0.9542857142857143,0.9488636363636364,0.9515669515669515
 Husband,2667,0.955177743431221,0.9251497005988024,0.9399239543726237
 Own-child,951,0.9678899082568807,0.9336283185840708,0.9504504504504504
 Not-in-family,1694,0.9438775510204082,0.9113300492610837,0.9273182957393483
 Wife,325,0.9615384615384616,0.9493670886075949,0.9554140127388535
 Other-relative,188,0.8974358974358975,0.875,0.8860759493670887
feature value,n_samples,precision,recall,fbeta
 Black,621,0.9565217391304348,0.9361702127659575,0.9462365591397849
 White,5557,0.9530201342281879,0.9254163649529327,0.9390154298310065
 Asian-Pac-Islander,216,0.9534883720930233,0.9111111111111111,0.9318181818181819
 Other,51,0.9,0.8181818181818182,0.8571428571428572
 Amer-Indian-Eskimo,68,0.9411764705882353,0.9411764705882353,0.9411764705882353
feature value,n_samples,precision,recall,fbeta
 Female,2154,0.9373695198329853,0.9200819672131147,0.9286452947259566
 Male,4359,0.9598130841121495,0.9277326106594399,0.943500229673863
feature value,n_samples,precision,recall,fbeta
 United-States,5817,0.9541150764748726,0.923185341789993,0.9383954154727795
 Canada,26,0.8333333333333334,0.8333333333333334,0.8333333333333334
 Germany,36,1.0,1.0,1.0
 Poland,13,1.0,1.0,1.0
 ?,109,1.0,1.0,1.0
 Philippines,35,1.0,0.75,0.8571428571428571
 Vietnam,18,1.0,1.0,1.0
 Haiti,14,1.0,1.0,1.0
 Thailand,2,0.0,0.0,0.0
 Iran,7,0.6666666666666666,1.0,0.8
 Nicaragua,7,1.0,1.0,1.0
 Mexico,134,0.9090909090909091,0.9375,0.923076923076923
 El-Salvador,20,1.0,0.8888888888888888,0.9411764705882353
 Dominican-Republic,15,1.0,1.0,1.0
 India,17,1.0,0.5,0.6666666666666666
 Hong,1,0.0,0.0,0.0
 Puerto-Rico,21,0.75,1.0,0.8571428571428571
 France,7,1.0,0.5,0.6666666666666666
 Cambodia,5,1.0,1.0,1.0
 England,15,1.0,1.0,1.0
 Japan,14,1.0,0.8,0.888888888888889
 Italy,21,1.0,1.0,1.0
 Cuba,19,1.0,1.0,1.0
 Ecuador,3,0.0,0.0,0.0
 Honduras,3,0.0,0.0,0.0
 Jamaica,19,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),4,1.0,1.0,1.0
 Columbia,8,1.0,1.0,1.0
 Guatemala,15,0.8888888888888888,1.0,0.9411764705882353
 South,21,1.0,1.0,1.0
 Portugal,4,1.0,1.0,1.0
 China,17,0.6666666666666666,1.0,0.8
 Hungary,5,1.0,1.0,1.0
 Taiwan,10,1.0,1.0,1.0
 Yugoslavia,4,0.0,0.0,0.0
 Trinadad&Tobago,3,0.0,0.0,0.0
 Ireland,6,1.0,1.0,1.0
 Peru,7,1.0,1.0,1.0
 Scotland,1,0.0,0.0,0.0
 Greece,4,1.0,1.0,1.0
 Laos,6,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4535,0.7003610108303249,0.614572333685322,0.65466816647919
 Local-gov,411,0.7142857142857143,0.6451612903225806,0.6779661016949152
 State-gov,275,0.676056338028169,0.676056338028169,0.676056338028169
 Self-emp-not-inc,522,0.7909090909090909,0.5471698113207547,0.6468401486988847
 Self-emp-inc,233,0.7416666666666667,0.6742424242424242,0.7063492063492063
 ?,356,0.6,0.40540540540540543,0.48387096774193555
 Federal-gov,180,0.746268656716418,0.7352941176470589,0.7407407407407408
 Without-pay,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 HS-grad,2106,0.5574468085106383,0.3864306784660767,0.4564459930313589
 Masters,345,0.7897435897435897,0.8324324324324325,0.8105263157894738
 Bachelors,1071,0.7648514851485149,0.7186046511627907,0.7410071942446043
 Some-college,1450,0.6363636363636364,0.5037878787878788,0.562367864693446
 Assoc-voc,313,0.6710526315789473,0.6538461538461539,0.6623376623376623
 11th,204,1.0,0.36363636363636365,0.5333333333333333
 9th,105,1.0,0.16666666666666666,0.2857142857142857
 7th-8th,126,1.0,0.1111111111111111,0.19999999999999998
 Prof-school,123,0.8686868686868687,0.9347826086956522,0.9005235602094241
 12th,85,1.0,0.2,0.33333333333333337
 Preschool,16,0.0,0.0,0.0
 5th-6th,57,1.0,0.25,0.4
 Assoc-acdm,210,0.65,0.5909090909090909,0.6190476190476191
 10th,181,0.75,0.25,0.375
 Doctorate,79,0.7692307692307693,0.8771929824561403,0.819672131147541
 1st-4th,42,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3045,0.7038834951456311,0.6615969581749049,0.6820854566836535
 Divorced,865,0.7142857142857143,0.36585365853658536,0.4838709677419355
 Never-married,2122,0.8372093023255814,0.36363636363636365,0.5070422535211268
 Separated,207,1.0,0.2727272727272727,0.42857142857142855
 Widowed,190,1.0,0.36,0.5294117647058824
 Married-spouse-absent,81,1.0,0.6,0.7499999999999999
 Married-AF-spouse,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Adm-clerical,730,0.6962025316455697,0.55,0.6145251396648046
 Prof-specialty,810,0.773224043715847,0.8202898550724638,0.7960618846694796
 Exec-managerial,814,0.7763157894736842,0.7544757033248082,0.7652399481193255
 Transport-moving,326,0.475,0.3392857142857143,0.39583333333333337
 Sales,785,0.6871165644171779,0.5517241379310345,0.6120218579234973
 Protective-serv,146,0.6153846153846154,0.4897959183673469,0.5454545454545454
 Tech-support,186,0.6779661016949152,0.7272727272727273,0.7017543859649122
 Machine-op-inspct,395,0.5357142857142857,0.2777777777777778,0.36585365853658536
 Farming-fishing,185,0.4444444444444444,0.2,0.2758620689655173
 ?,356,0.6,0.40540540540540543,0.48387096774193555
 Other-service,647,0.7,0.25925925925925924,0.37837837837837834
 Handlers-cleaners,252,1.0,0.18181818181818182,0.3076923076923077
 Priv-house-serv,30,0.0,0.0,0.0
 Craft-repair,848,0.5882352941176471,0.42105263157894735,0.4907975460122699
 Armed-Forces,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2699,0.7027272727272728,0.6612489307100086,0.6813574261789335
 Not-in-family,1630,0.7866666666666666,0.37579617834394907,0.5086206896551724
 Unmarried,677,0.8571428571428571,0.33962264150943394,0.48648648648648646
 Own-child,1032,1.0,0.4166666666666667,0.5882352941176471
 Wife,294,0.7142857142857143,0.6643356643356644,0.6884057971014493
 Other-relative,181,0.5,0.25,0.3333333333333333
feature value,n_samples,precision,recall,fbeta
 White,5551,0.7144019528071603,0.6271428571428571,0.6679345758843667
 Black,635,0.7169811320754716,0.5135135135135135,0.5984251968503936
 Asian-Pac-Islander,207,0.6744186046511628,0.5471698113207547,0.6041666666666666
 Amer-Indian-Eskimo,55,0.6,0.42857142857142855,0.5
 Other,65,0.5,0.75,0.6
feature value,n_samples,precision,recall,fbeta
 Male,4425,0.7071917808219178,0.6310160427807486,0.6669358094469116
 Female,2088,0.7440476190476191,0.5458515283842795,0.6297229219143577
feature value,n_samples,precision,recall,fbeta
 United-States,5879,0.7139403706688154,0.6252646436132675,0.6666666666666667
 ?,112,0.8148148148148148,0.7857142857142857,0.7999999999999999
 Mexico,121,0.0,0.0,0.0
 Guatemala,12,0.0,0.0,0.0
 Philippines,39,0.8888888888888888,0.6666666666666666,0.761904761904762
 Greece,6,1.0,0.3333333333333333,0.5
 Vietnam,16,0.0,0.0,0.0
 Canada,22,0.6666666666666666,0.2222222222222222,0.3333333333333333
 South,23,0.2857142857142857,0.6666666666666666,0.4
 Cambodia,8,0.0,0.0,0.0
 Jamaica,14,0.0,0.0,0.0
 Germany,29,0.625,0.625,0.625
 Haiti,8,0.0,0.0,0.0
 Puerto-Rico,29,0.6666666666666666,0.5,0.5714285714285715
 Columbia,13,0.5,1.0,0.6666666666666666
 England,16,0.75,0.6,0.6666666666666665
 Hungary,3,1.0,1.0,1.0
 Poland,9,0.0,0.0,0.0
 Taiwan,8,1.0,0.6666666666666666,0.8
 Cuba,11,1.0,0.6666666666666666,0.8
 India,18,0.16666666666666666,0.3333333333333333,0.2222222222222222
 China,14,0.75,1.0,0.8571428571428571
 Nicaragua,5,0.0,0.0,0.0
 France,5,0.0,0.0,0.0
 Trinadad&Tobago,3,1.0,0.5,0.6666666666666666
 Dominican-Republic,14,0.0,0.0,0.0
 Japan,13,1.0,0.6,0.7499999999999999
 Iran,5,1.0,0.6666666666666666,0.8
 Italy,13,0.6666666666666666,0.4,0.5
 El-Salvador,15,0.0,0.0,0.0
 Thailand,3,0.0,0.0,0.0
 Portugal,7,0.0,0.0,0.0
 Honduras,2,0.0,0.0,0.0
 Hong,3,0.0,0.0,0.0
 Laos,2,0.0,0.0,0.0
 Peru,4,0.0,0.0,0.0
 Ireland,4,1.0,1.0,1.0
 Ecuador,2,0.0,0.0,0.0
 Yugoslavia,2,0.0,0.0,0.0
 Scotland,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4578,0.7496932515337423,0.6171717171717171,0.6770083102493074
 Local-gov,415,0.7435897435897436,0.7131147540983607,0.7280334728033474
 ?,345,0.6764705882352942,0.5227272727272727,0.5897435897435898
 Self-emp-not-inc,498,0.7326732673267327,0.5323741007194245,0.6166666666666667
 State-gov,261,0.7719298245614035,0.6470588235294118,0.704
 Self-emp-inc,226,0.7563025210084033,0.7758620689655172,0.7659574468085106
 Federal-gov,182,0.8135593220338984,0.7164179104477612,0.761904761904762
 Without-pay,6,0.0,0.0,0.0
 Never-worked,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Masters,342,0.806282722513089,0.8415300546448088,0.823529411764706
 Prof-school,93,0.8309859154929577,0.9365079365079365,0.8805970149253731
 HS-grad,2101,0.6470588235294118,0.43597560975609756,0.5209471766848817
 Assoc-acdm,209,0.6363636363636364,0.6086956521739131,0.6222222222222223
 5th-6th,67,1.0,0.4,0.5714285714285715
 Some-college,1456,0.7540106951871658,0.5145985401459854,0.6117136659436008
 11th,218,1.0,0.2,0.33333333333333337
 10th,177,0.75,0.3333333333333333,0.46153846153846156
 1st-4th,37,0.0,0.0,0.0
 Doctorate,89,0.8529411764705882,0.8656716417910447,0.8592592592592593
 Assoc-voc,301,0.6909090909090909,0.4578313253012048,0.5507246376811594
 Preschool,11,0.0,0.0,0.0
 Bachelors,1069,0.7668161434977578,0.7633928571428571,0.7651006711409396
 12th,85,0.6,0.5,0.5454545454545454
 7th-8th,149,0.3333333333333333,0.1111111111111111,0.16666666666666666
 9th,109,1.0,0.2222222222222222,0.3636363636363636
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,2949,0.7449832775919732,0.668417104276069,0.704626334519573
 Never-married,2178,0.8846153846153846,0.46,0.605263157894737
 Divorced,883,0.7272727272727273,0.4266666666666667,0.5378151260504203
 Widowed,210,1.0,0.3157894736842105,0.4799999999999999
 Separated,213,0.6666666666666666,0.13333333333333333,0.2222222222222222
 Married-spouse-absent,77,0.0,0.0,0.0
 Married-AF-spouse,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Prof-specialty,819,0.7666666666666667,0.7688022284122563,0.7677329624478443
 Other-service,660,0.75,0.21428571428571427,0.3333333333333333
 Adm-clerical,775,0.5925925925925926,0.5106382978723404,0.5485714285714286
 ?,347,0.6764705882352942,0.5227272727272727,0.5897435897435898
 Handlers-cleaners,286,1.0,0.25,0.4
 Machine-op-inspct,405,0.5483870967741935,0.3469387755102041,0.425
 Sales,718,0.7948717948717948,0.6048780487804878,0.6869806094182825
 Tech-support,177,0.7111111111111111,0.6666666666666666,0.6881720430107527
 Craft-repair,799,0.6260869565217392,0.391304347826087,0.4816053511705686
 Priv-house-serv,27,0.0,0.0,0.0
 Exec-managerial,835,0.8106060606060606,0.8188775510204082,0.8147208121827412
 Protective-serv,128,0.8333333333333334,0.6976744186046512,0.759493670886076
 Farming-fishing,207,0.6666666666666666,0.09090909090909091,0.16
 Transport-moving,327,0.6764705882352942,0.3484848484848485,0.4600000000000001
 Armed-Forces,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2556,0.747104247104247,0.6678170836928387,0.7052391799544419
 Not-in-family,1700,0.8023255813953488,0.43670886075949367,0.5655737704918032
 Own-child,1002,1.0,0.3684210526315789,0.5384615384615384
 Unmarried,712,0.8571428571428571,0.32432432432432434,0.4705882352941177
 Other-relative,199,1.0,0.18181818181818182,0.3076923076923077
 Wife,344,0.7197452229299363,0.6975308641975309,0.7084639498432601
feature value,n_samples,precision,recall,fbeta
 White,5561,0.7572156196943973,0.6421886249100072,0.6949746786131672
 Black,615,0.6875,0.5176470588235295,0.5906040268456376
 Asian-Pac-Islander,221,0.6730769230769231,0.6140350877192983,0.6422018348623854
 Other,56,0.6,0.42857142857142855,0.5
 Amer-Indian-Eskimo,60,1.0,0.375,0.5454545454545454
feature value,n_samples,precision,recall,fbeta
 Male,4368,0.7515808491418248,0.6439628482972136,0.6936223426427678
 Female,2145,0.7435897435897436,0.5708661417322834,0.645879732739421
feature value,n_samples,precision,recall,fbeta
 United-States,5845,0.7582139848357203,0.6346967559943583,0.690978886756238
 ?,114,0.6296296296296297,0.5862068965517241,0.6071428571428571
 Laos,4,0.0,0.0,0.0
 Mexico,122,0.75,0.5,0.6
 Canada,23,0.6666666666666666,0.4444444444444444,0.5333333333333333
 Philippines,48,0.75,0.8181818181818182,0.7826086956521738
 El-Salvador,18,0.0,0.0,0.0
 Hong,1,1.0,1.0,1.0
 Jamaica,20,0.0,0.0,0.0
 France,6,1.0,1.0,1.0
 Italy,15,0.8,0.8,0.8000000000000002
 Iran,14,0.6,0.75,0.6666666666666665
 South,15,0.0,0.0,0.0
 Vietnam,9,0.0,0.0,0.0
 Trinadad&Tobago,4,0.0,0.0,0.0
 Taiwan,9,0.8333333333333334,1.0,0.9090909090909091
 Haiti,5,0.0,0.0,0.0
 Cuba,19,0.6,1.0,0.7499999999999999
 Columbia,7,0.0,0.0,0.0
 Japan,14,1.0,0.3333333333333333,0.5
 Puerto-Rico,32,0.6666666666666666,0.6666666666666666,0.6666666666666666
 India,18,0.5454545454545454,1.0,0.7058823529411764
 Ecuador,10,1.0,0.3333333333333333,0.5
 China,19,0.8333333333333334,0.8333333333333334,0.8333333333333334
 Poland,12,0.3333333333333333,0.5,0.4
 Germany,22,0.5,0.16666666666666666,0.25
 Hungary,3,0.0,0.0,0.0
 England,16,0.75,0.75,0.75
 Honduras,2,0.0,0.0,0.0
 Scotland,1,0.0,0.0,0.0
 Greece,6,0.0,0.0,0.0
 Nicaragua,5,0.0,0.0,0.0
 Portugal,11,1.0,1.0,1.0
 Cambodia,4,0.0,0.0,0.0
 Guatemala,14,0.0,0.0,0.0
 Dominican-Republic,14,0.0,0.0,0.0
 Peru,5,1.0,1.0,1.0
 Thailand,3,0.0,0.0,0.0
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Yugoslavia,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4492,0.9523809523809523,0.9239130434782609,0.9379310344827585
 Self-emp-not-inc,566,0.9523809523809523,0.96,0.9561752988047808
 Federal-gov,196,0.9090909090909091,0.9259259259259259,0.9174311926605504
 Self-emp-inc,231,0.8947368421052632,0.9272727272727272,0.9107142857142856
 ?,361,0.946236559139785,0.946236559139785,0.946236559139785
 Local-gov,406,0.9263157894736842,0.9263157894736842,0.9263157894736842
 State-gov,255,0.9848484848484849,0.9701492537313433,0.9774436090225564
 Never-worked,4,1.0,1.0,1.0
 Without-pay,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 10th,180,1.0,0.9811320754716981,0.9904761904761905
 HS-grad,2113,0.9591439688715954,0.9372623574144486,0.948076923076923
 Some-college,1512,0.9491525423728814,0.935933147632312,0.9424964936886396
 Assoc-acdm,232,0.9183673469387755,0.9183673469387755,0.9183673469387755
 7th-8th,117,0.9285714285714286,0.8666666666666667,0.896551724137931
 Assoc-voc,269,0.9508196721311475,0.8529411764705882,0.8992248062015503
 9th,98,0.9354838709677419,0.9354838709677419,0.9354838709677419
 1st-4th,37,0.9,0.9,0.9
 Prof-school,132,0.8275862068965517,0.8571428571428571,0.8421052631578947
 Bachelors,1014,0.9495798319327731,0.9338842975206612,0.9416666666666667
 Masters,353,0.925531914893617,0.9666666666666667,0.9456521739130436
 11th,209,0.9183673469387755,0.8823529411764706,0.9
 12th,72,0.9333333333333333,0.875,0.9032258064516129
 5th-6th,73,1.0,0.9375,0.967741935483871
 Doctorate,89,1.0,0.9166666666666666,0.9565217391304348
 Preschool,13,0.6666666666666666,1.0,0.8
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,2990,0.9520451339915373,0.9259259259259259,0.9388038942976356
 Divorced,900,0.943127962085308,0.9299065420560748,0.936470588235294
 Never-married,2121,0.9535783365570599,0.9337121212121212,0.9435406698564593
 Widowed,207,0.9215686274509803,0.9591836734693877,0.9400000000000001
 Separated,212,0.9473684210526315,0.9473684210526315,0.9473684210526315
 Married-spouse-absent,81,0.7894736842105263,0.8823529411764706,0.8333333333333333
 Married-AF-spouse,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Craft-repair,825,0.9782608695652174,0.9045226130653267,0.9399477806788512
 Exec-managerial,784,0.9627659574468085,0.9282051282051282,0.9451697127937337
 Other-service,669,0.9407894736842105,0.9285714285714286,0.934640522875817
 Sales,753,0.9186046511627907,0.9349112426035503,0.9266862170087976
 Handlers-cleaners,286,1.0,0.9466666666666667,0.9726027397260273
 Adm-clerical,754,0.9536082474226805,0.9536082474226805,0.9536082474226805
 Priv-house-serv,23,0.8571428571428571,0.8571428571428571,0.8571428571428571
 Prof-specialty,842,0.9230769230769231,0.9411764705882353,0.9320388349514563
 ?,365,0.9468085106382979,0.9468085106382979,0.9468085106382979
 Tech-support,184,0.94,0.9215686274509803,0.9306930693069307
 Transport-moving,326,0.9662921348314607,0.9247311827956989,0.945054945054945
 Machine-op-inspct,387,0.9310344827586207,0.8804347826086957,0.9050279329608939
 Protective-serv,128,0.9629629629629629,0.9629629629629629,0.9629629629629629
 Farming-fishing,185,0.926829268292683,0.926829268292683,0.926829268292683
 Armed-Forces,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2631,0.9524564183835182,0.9274691358024691,0.9397967161845191
 Not-in-family,1678,0.9435897435897436,0.9484536082474226,0.9460154241645243
 Own-child,985,0.9504132231404959,0.905511811023622,0.9274193548387096
 Unmarried,668,0.9479768786127167,0.9162011173184358,0.9318181818181819
 Other-relative,233,0.9272727272727272,0.9622641509433962,0.9444444444444444
 Wife,318,0.9452054794520548,0.9452054794520548,0.9452054794520548
feature value,n_samples,precision,recall,fbeta
 White,5555,0.9463087248322147,0.9303519061583577,0.9382624768946396
 Black,624,0.9671052631578947,0.930379746835443,0.9483870967741935
 Other,54,0.9166666666666666,1.0,0.9565217391304348
 Amer-Indian-Eskimo,73,1.0,0.7857142857142857,0.88
 Asian-Pac-Islander,207,0.9375,0.9375,0.9375
feature value,n_samples,precision,recall,fbeta
 Male,4365,0.9520613614573347,0.927170868347339,0.9394512771996216
 Female,2148,0.9404990403071017,0.9351145038167938,0.937799043062201
feature value,n_samples,precision,recall,fbeta
 United-States,5826,0.9498926270579814,0.9299229152067274,0.9398016997167139
 Jamaica,23,1.0,1.0,1.0
 Ireland,8,1.0,1.0,1.0
 Mexico,128,0.875,0.9655172413793104,0.9180327868852458
 Puerto-Rico,29,0.8,0.6666666666666666,0.7272727272727272
 Columbia,10,1.0,1.0,1.0
 Ecuador,4,1.0,1.0,1.0
 El-Salvador,22,1.0,0.8888888888888888,0.9411764705882353
 Portugal,9,1.0,1.0,1.0
 Cuba,30,0.9090909090909091,1.0,0.9523809523809523
 Philippines,37,1.0,0.875,0.9333333333333333
 Haiti,11,1.0,1.0,1.0
 ?,110,0.9655172413793104,0.9032258064516129,0.9333333333333333
 Italy,11,1.0,0.8,0.888888888888889
 Japan,15,1.0,1.0,1.0
 Germany,27,1.0,1.0,1.0
 Taiwan,7,1.0,1.0,1.0
 Nicaragua,6,0.5,1.0,0.6666666666666666
 China,17,1.0,1.0,1.0
 Poland,11,1.0,0.5,0.6666666666666666
 Canada,22,0.8571428571428571,1.0,0.923076923076923
 India,22,1.0,1.0,1.0
 Yugoslavia,2,1.0,1.0,1.0
 Dominican-Republic,15,1.0,0.6666666666666666,0.8
 England,13,1.0,1.0,1.0
 Peru,6,1.0,1.0,1.0
 Laos,3,0.0,0.0,0.0
 France,5,1.0,1.0,1.0
 South,19,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Hong,4,0.0,0.0,0.0
 Honduras,3,1.0,1.0,1.0
 Hungary,2,1.0,1.0,1.0
 Guatemala,15,1.0,1.0,1.0
 Trinadad&Tobago,5,0.0,0.0,0.0
 Thailand,7,1.0,1.0,1.0
 Cambodia,3,0.0,0.0,0.0
 Vietnam,9,1.0,0.6666666666666666,0.8
 Greece,5,0.0,0.0,0.0
 Iran,10,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Private,4561,0.9495875343721356,0.9350180505415162,0.9422464756707594
 Federal-gov,202,0.9615384615384616,0.9615384615384616,0.9615384615384616
 Self-emp-not-inc,507,0.9465648854961832,0.9253731343283582,0.9358490566037737
 Local-gov,385,0.9468085106382979,0.898989898989899,0.9222797927461138
 Self-emp-inc,232,0.9259259259259259,0.9090909090909091,0.9174311926605504
 ?,370,0.9318181818181818,0.9213483146067416,0.9265536723163842
 State-gov,254,0.9629629629629629,0.896551724137931,0.9285714285714286
 Without-pay,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Bachelors,1060,0.9372693726937269,0.9407407407407408,0.9390018484288354
 HS-grad,2109,0.9511201629327902,0.9302788844621513,0.9405840886203424
 Assoc-acdm,216,0.9795918367346939,0.9230769230769231,0.9504950495049506
 10th,172,0.9347826086956522,0.9347826086956522,0.9347826086956522
 Some-college,1465,0.9447674418604651,0.9129213483146067,0.9285714285714286
 Assoc-voc,295,0.9583333333333334,0.971830985915493,0.965034965034965
 Masters,354,0.9456521739130435,0.9354838709677419,0.9405405405405404
 Prof-school,114,0.9655172413793104,0.8484848484848485,0.9032258064516129
 9th,107,0.9375,1.0,0.967741935483871
 7th-8th,137,0.9642857142857143,0.9642857142857143,0.9642857142857143
 11th,227,0.9811320754716981,0.9285714285714286,0.9541284403669724
 Doctorate,74,0.9523809523809523,0.8695652173913043,0.909090909090909
 12th,80,0.9333333333333333,0.875,0.9032258064516129
 1st-4th,35,0.875,1.0,0.9333333333333333
 5th-6th,61,1.0,1.0,1.0
 Preschool,7,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3014,0.9523809523809523,0.9271523178807947,0.9395973154362416
 Never-married,2106,0.9594594594594594,0.9289719626168225,0.9439696106362773
 Divorced,890,0.925,0.925,0.925
 Separated,213,0.9512195121951219,0.9512195121951219,0.9512195121951219
 Widowed,184,0.8780487804878049,0.9473684210526315,0.9113924050632912
 Married-spouse-absent,99,0.88,1.0,0.9361702127659575
 Married-AF-spouse,7,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Prof-specialty,833,0.9473684210526315,0.9252336448598131,0.9361702127659575
 Farming-fishing,208,0.9649122807017544,0.9482758620689655,0.9565217391304347
 Other-service,607,0.9432624113475178,0.9300699300699301,0.9366197183098592
 Sales,728,0.9405405405405406,0.9206349206349206,0.93048128342246
 Tech-support,175,0.8648648648648649,0.9411764705882353,0.9014084507042254
 Adm-clerical,770,0.9382022471910112,0.9027027027027027,0.9201101928374654
 Transport-moving,333,0.9859154929577465,0.9333333333333333,0.9589041095890412
 Machine-op-inspct,414,0.9775280898876404,0.925531914893617,0.9508196721311475
 Craft-repair,842,0.9757281553398058,0.9436619718309859,0.9594272076372315
 Exec-managerial,808,0.9333333333333333,0.9655172413793104,0.9491525423728815
 Handlers-cleaners,277,0.9433962264150944,0.8771929824561403,0.9090909090909091
 ?,370,0.9318181818181818,0.9213483146067416,0.9265536723163842
 Protective-serv,110,0.9259259259259259,0.9259259259259259,0.9259259259259259
 Priv-house-serv,36,1.0,0.9230769230769231,0.9600000000000001
 Armed-Forces,2,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Husband,2683,0.952887537993921,0.9275147928994083,0.9400299850074962
 Not-in-family,1654,0.9445843828715366,0.9305210918114144,0.9375
 Unmarried,695,0.9444444444444444,0.9386503067484663,0.9415384615384614
